# Per-cobra open-loop response of the two blind moves, measured 2026-09-14 with the
# dots rotated 90 deg in theta so both moves were visible to MCS.
#
# landingGain: measured phi change over commanded, for the ramp's move to the
#   landing fraction, whose start is the measured iteration-7 angle.
# targetGain:  the same for the move to dotTarget, commanded as a fraction of the
#   chord from the tracker's belief that it is at the landing fraction.
#
# The two are only weakly related (r = 0.39), so one gain cannot stand for both.
# dotTarget for a depth D, given the measured iteration-7 angle phi7:
#   landed = phi7 + landingGain * (phiAt(landing) - phi7)
#   dotTarget = landing + (phiAt(D) - landed) / (targetGain * chord)
# calibrated False means the fleet default applies.
cobraId,landingGain,targetGain,calibrated
374,1.0366,1.0462,True
375,1.0117,1.1988,True
376,1.0223,1.1951,True
377,1.0834,0.9919,True
378,1.0603,1.2484,True
379,1.2107,1.2810,True
380,0.9230,1.1082,True
381,0.9998,0.9384,True
382,0.9615,1.0834,True
383,1.0780,0.9787,True
384,1.1140,1.2076,True
385,0.9537,1.0700,True
386,1.0752,0.9784,True
387,0.9846,0.9386,True
388,0.9778,0.9555,True
389,0.9084,1.1334,True
390,1.0000,1.0000,False
391,0.9731,1.1900,True
392,1.1108,1.0419,True
393,1.0430,0.7414,True
394,1.0772,0.8616,True
395,0.9825,1.1640,True
396,1.1591,0.9498,True
397,1.0298,0.9518,True
398,1.0896,0.9340,True
399,0.8624,1.3291,True
400,1.0462,0.9594,True
401,1.0961,0.9884,True
402,0.9476,1.4270,True
403,0.9621,1.3119,True
404,0.9285,0.9867,True
405,0.9084,0.9483,True
406,1.0516,1.0751,True
407,1.0254,1.0159,True
408,1.0433,0.9281,True
409,1.0218,1.0331,True
410,1.0124,0.9322,True
411,1.0400,0.9071,True
412,1.0114,0.9600,True
413,1.1815,1.3388,True
414,1.1258,0.9040,True
415,1.1465,1.0964,True
416,1.0506,0.8634,True
417,1.1599,1.4979,True
418,0.9604,0.7680,True
419,1.1595,1.1485,True
420,0.9679,1.0159,True
421,1.2375,1.2617,True
422,1.1966,1.3357,True
423,1.2068,1.0983,True
424,1.1690,1.0923,True
425,1.0013,1.0309,True
426,1.0896,0.9870,True
427,1.0617,0.8436,True
428,0.9640,1.0649,True
429,0.9793,1.0133,True
430,1.0799,1.0543,True
431,0.9392,0.8792,True
432,1.3196,1.1885,True
433,1.1340,1.0760,True
434,0.8802,0.9999,True
435,0.9088,0.9003,True
436,1.1083,1.0064,True
437,1.3606,1.1485,True
438,0.9218,1.0174,True
439,0.9079,0.8956,True
440,1.0742,0.9786,True
441,1.1386,0.9905,True
442,1.1043,0.9815,True
443,1.0000,1.0000,False
444,0.7748,0.7293,True
445,0.9205,0.7761,True
446,0.9117,0.9505,True
447,1.0106,1.0003,True
448,1.0960,0.8985,True
449,1.1704,0.9510,True
450,1.0239,1.1627,True
451,1.0052,1.1340,True
452,1.0467,0.9618,True
453,1.1546,0.8360,True
454,1.0376,0.9198,True
455,0.8421,1.4608,True
456,1.1630,0.9306,True
457,0.9505,1.1023,True
458,1.3649,1.6107,True
459,1.0889,1.1663,True
460,0.8164,0.9685,True
461,0.9053,0.9165,True
462,0.9241,0.8414,True
463,0.9699,0.9730,True
464,1.0980,0.9992,True
465,0.7103,1.3001,True
466,1.0165,0.9071,True
467,0.9424,0.8946,True
468,1.1588,1.1250,True
469,1.0511,0.9994,True
470,1.1521,1.1876,True
471,1.1482,0.9303,True
472,1.0262,0.9471,True
473,1.1208,0.7812,True
474,1.0005,1.1390,True
475,1.0039,0.8964,True
476,1.1415,0.9923,True
477,1.1055,1.0304,True
478,1.0903,1.3258,True
479,1.0781,0.9255,True
480,1.1348,1.2788,True
481,1.1033,1.1410,True
482,0.8902,0.9855,True
483,1.1893,1.2151,True
484,1.0212,0.9370,True
485,0.8603,1.3581,True
486,0.8712,0.7398,True
487,1.0819,1.1439,True
488,1.0348,0.9862,True
489,1.0636,0.9444,True
490,0.9303,0.8973,True
491,1.0703,1.2423,True
492,1.0638,1.0633,True
493,1.0000,1.0000,False
494,1.0661,1.0141,True
495,1.0276,0.7729,True
496,0.9832,0.9679,True
497,0.9277,0.8925,True
498,0.9245,0.8706,True
499,0.8342,0.6974,True
500,0.7910,0.5379,True
501,0.8702,1.5547,True
502,0.8618,1.0240,True
503,0.9186,0.9559,True
504,0.9914,1.0511,True
505,0.9554,0.9634,True
506,0.9973,0.9196,True
507,1.0110,1.0906,True
508,0.8450,0.9077,True
509,0.8255,0.8481,True
510,1.0329,1.0035,True
511,0.9140,1.1068,True
512,0.8795,1.2850,True
513,0.9472,1.0258,True
514,0.8941,0.8055,True
515,1.0782,0.9018,True
516,1.0000,1.0000,False
517,0.9704,0.9840,True
518,1.0403,1.1432,True
519,1.0989,0.9737,True
520,1.1968,1.1085,True
521,1.0072,0.8420,True
522,0.9394,0.9836,True
523,0.8765,1.2244,True
524,1.1245,1.0848,True
525,1.1329,1.1559,True
526,0.9439,0.8227,True
527,1.0414,1.0524,True
528,1.0993,0.9990,True
529,1.0474,0.8927,True
530,0.9839,1.0035,True
531,0.9999,0.9482,True
532,0.9767,0.9729,True
533,1.0331,1.0544,True
534,1.1968,0.9658,True
535,1.1473,1.2763,True
536,1.0775,1.0566,True
537,0.9150,0.9198,True
538,0.8151,0.8003,True
539,1.1265,0.9467,True
540,0.9198,0.8864,True
541,1.0986,1.0183,True
542,1.1278,0.8802,True
543,1.0310,1.5460,True
544,0.9990,0.8597,True
545,1.1361,1.1505,True
546,1.1342,1.0329,True
547,0.9914,1.0226,True
548,0.9974,1.0187,True
549,0.8947,1.1922,True
550,1.0066,0.9419,True
551,1.0802,0.9046,True
552,1.0072,1.1276,True
553,1.0503,0.9265,True
554,0.7963,0.9976,True
555,0.8772,0.9555,True
556,0.9185,1.0771,True
557,1.0986,0.7424,True
558,1.0002,1.0236,True
559,1.1997,1.1020,True
560,1.0000,0.9432,True
561,1.0418,0.8179,True
562,1.0592,1.1083,True
563,0.9026,0.8666,True
564,1.0060,1.0053,True
565,1.0504,1.1469,True
566,1.1208,1.1290,True
567,1.0498,0.9807,True
568,0.9453,1.0157,True
569,0.8106,1.3864,True
570,1.0445,1.0807,True
571,1.0000,1.0000,False
572,0.9657,0.9771,True
573,1.0284,0.9323,True
574,1.0000,1.0000,False
575,0.9731,0.8183,True
576,1.0035,1.0170,True
577,1.1062,0.8967,True
578,1.0690,1.0442,True
579,1.1560,1.0436,True
580,1.2077,0.9459,True
581,1.0624,0.9238,True
582,1.1608,0.8730,True
583,0.8892,0.9491,True
584,1.1909,1.2678,True
585,1.0220,1.0084,True
586,0.9591,1.0778,True
587,0.9519,0.8347,True
588,0.9871,0.9156,True
589,1.0125,1.0305,True
590,1.0105,0.9218,True
591,0.9761,0.8164,True
592,1.1883,1.0187,True
593,0.9652,0.9455,True
594,1.3874,1.1718,True
595,1.4294,1.0077,True
596,1.3491,0.7596,True
597,0.8902,0.9956,True
598,1.0718,0.9990,True
599,1.1735,1.1647,True
600,1.2923,1.0059,True
601,1.0175,0.9940,True
602,1.1545,1.1105,True
603,1.2184,1.3118,True
604,1.1324,1.2014,True
605,0.9318,1.0798,True
606,1.3688,1.0386,True
607,0.9066,1.0116,True
608,1.0671,0.9648,True
609,1.1626,0.9940,True
610,1.0552,0.9744,True
611,0.9441,1.2900,True
612,0.9438,0.9716,True
613,1.0124,1.0021,True
614,1.2055,1.3491,True
615,1.0761,1.1489,True
616,1.0689,0.9790,True
617,0.8842,1.0518,True
618,1.0761,0.9406,True
619,1.1355,1.1184,True
620,1.0005,1.0640,True
621,1.2046,0.9100,True
622,0.9516,1.0339,True
623,1.0296,1.4825,True
624,1.1932,0.9817,True
625,0.8188,1.0323,True
626,0.8057,1.3747,True
627,1.1670,1.1357,True
628,0.9786,0.9725,True
629,1.0579,0.9821,True
630,1.0018,1.1654,True
631,1.1083,1.4075,True
632,0.9794,0.8960,True
633,0.8323,0.9655,True
634,1.0109,1.0837,True
635,0.9370,1.0493,True
