id_dot,x_dot,y_dot,r_dot
588,3026.64,3825.88,9.95239
589,3117.29,3770.45,9.95752
590,3024.04,3719.27,9.952689999999999
591,3114.7,3663.8,9.95782
592,3021.45,3612.64,9.95298
593,3112.13,3557.15,9.958039999999999
594,3018.89,3506.01,9.9532
595,3109.58,3450.5,9.95828
596,3016.34,3399.37,9.95337
597,3107.04,3343.84,9.95842
598,3013.81,3292.74,9.95348
599,3104.52,3237.18,9.95851
600,3011.3,3186.1,9.95355
601,3102.02,3130.52,9.95852
602,3008.81,3079.47,9.95354
603,3099.54,3023.88,9.95847
604,3006.34,2972.85,9.95347
605,3097.07,2917.24,9.95836
606,3003.89,2866.24,9.95337
607,3094.63,2810.61,9.9582
608,3001.45,2759.64,9.95314
609,3092.2,2704.0,9.95797
610,2999.03,2653.06,9.95284
611,3089.78,2597.41,9.95765
612,2996.62,2546.5,9.9525
613,3087.38,2490.84,9.957239999999999
614,2994.24,2439.95,9.952
615,3085.0,2384.29,9.956760000000001
616,2991.87,2333.44,9.95145
617,3082.63,2277.76,9.95615
618,2989.51,2226.94,9.95078
619,3080.28,2171.27,9.95543
620,2987.18,2120.48,9.94998
621,3077.94,2064.8,9.95461
622,2984.86,2014.05,9.94904
623,3075.62,1958.37,9.953669999999999
624,2982.55,1907.66,9.9479
625,3073.32,1851.97,9.95256
626,2980.27,1801.3,9.94667
627,3071.03,1745.61,9.95129
628,2960.41,4839.55,9.941139999999999
629,2867.21,4788.29,9.93639
630,2957.63,4733.2,9.942110000000001
631,2864.43,4681.94,9.9373
632,2954.87,4626.81,9.94299
633,2861.68,4575.56,9.93812
634,2952.13,4520.39,9.94373
635,2858.93,4469.15,9.93892
636,2949.4,4413.94,9.944469999999999
637,2856.21,4362.7,9.9396
638,2946.7,4307.46,9.94513
639,2853.51,4256.23,9.94022
640,2944.01,4200.95,9.9457
641,2850.82,4149.73,9.94077
642,2941.33,4094.41,9.94619
643,2848.15,4043.21,9.941239999999999
644,2938.68,3987.86,9.946660000000001
645,2845.5,3936.67,9.94169
646,2936.04,3881.29,9.94706
647,2842.87,3830.11,9.94208
648,2933.43,3774.7,9.947460000000001
649,2840.27,3723.54,9.94238
650,2930.83,3668.11,9.94775
651,2837.68,3616.96,9.94266
652,2928.26,3561.5,9.948
653,2835.11,3510.38,9.94287
654,2925.7,3454.89,9.948189999999999
655,2832.56,3403.79,9.94304
656,2923.16,3348.27,9.94834
657,2830.03,3297.19,9.94315
658,2920.64,3241.66,9.94841
659,2827.52,3190.6,9.9432
660,2918.14,3135.05,9.94846
661,2825.02,3084.02,9.94319
662,2915.66,3028.44,9.94839
663,2822.55,2977.44,9.9431
664,2913.19,2921.85,9.94829
665,2820.1,2870.87,9.942969999999999
666,2910.75,2815.26,9.94813
667,2817.67,2764.32,9.942739999999999
668,2908.32,2708.69,9.94786
669,2815.25,2657.78,9.9424
670,2905.91,2602.14,9.947510000000001
671,2812.86,2551.26,9.94202
672,2903.52,2495.61,9.94708
673,2810.48,2444.75,9.94143
674,2901.15,2389.1,9.94656
675,2808.12,2338.28,9.94077
676,2898.79,2282.62,9.9459
677,2805.78,2231.83,9.94
678,2896.45,2176.16,9.9451
679,2803.46,2125.41,9.93907
680,2894.13,2069.73,9.944180000000001
681,2801.16,2019.02,9.93799
682,2891.83,1963.34,9.94307
683,2798.88,1912.67,9.93671
