id,x_dot,y_dot,r_dot
2.57000e+02,5.59148e+03,2.80279e+03,1.00280e+01
2.58000e+02,5.68540e+03,2.85407e+03,1.00274e+01
2.59000e+02,5.77931e+03,2.90535e+03,1.00266e+01
2.60000e+02,5.87321e+03,2.95665e+03,1.00255e+01
2.61000e+02,5.96710e+03,3.00795e+03,1.00241e+01
2.62000e+02,6.06097e+03,3.05925e+03,1.00224e+01
2.63000e+02,6.15482e+03,3.11056e+03,1.00206e+01
2.64000e+02,6.24866e+03,3.16186e+03,1.00185e+01
2.65000e+02,6.34247e+03,3.21317e+03,1.00163e+01
2.66000e+02,6.43625e+03,3.26446e+03,1.00139e+01
2.67000e+02,6.53001e+03,3.31576e+03,1.00113e+01
2.68000e+02,6.62374e+03,3.36704e+03,1.00087e+01
2.69000e+02,6.71744e+03,3.41832e+03,1.00059e+01
2.70000e+02,6.81110e+03,3.46959e+03,1.00029e+01
2.71000e+02,6.90473e+03,3.52085e+03,9.99990e+00
2.72000e+02,6.99833e+03,3.57209e+03,9.99683e+00
2.73000e+02,7.09189e+03,3.62332e+03,9.99358e+00
2.74000e+02,7.18542e+03,3.67454e+03,9.99026e+00
2.75000e+02,7.27890e+03,3.72574e+03,9.98684e+00
2.76000e+02,7.37235e+03,3.77693e+03,9.98313e+00
2.77000e+02,7.46575e+03,3.82810e+03,9.97927e+00
2.78000e+02,7.55911e+03,3.87924e+03,9.97517e+00
2.79000e+02,7.65242e+03,3.93038e+03,9.97063e+00
2.80000e+02,5.11939e+03,2.43976e+03,1.00254e+01
2.81000e+02,5.21328e+03,2.49095e+03,1.00264e+01
2.82000e+02,5.30718e+03,2.54215e+03,1.00271e+01
2.83000e+02,5.40109e+03,2.59338e+03,1.00275e+01
2.84000e+02,5.49500e+03,2.64462e+03,1.00276e+01
2.85000e+02,5.58892e+03,2.69587e+03,1.00274e+01
2.86000e+02,5.68283e+03,2.74714e+03,1.00270e+01
2.87000e+02,5.77674e+03,2.79842e+03,1.00261e+01
2.88000e+02,5.87064e+03,2.84971e+03,1.00251e+01
2.89000e+02,5.96453e+03,2.90101e+03,1.00238e+01
2.90000e+02,6.05841e+03,2.95231e+03,1.00222e+01
2.91000e+02,6.15226e+03,3.00361e+03,1.00204e+01
2.92000e+02,6.24610e+03,3.05492e+03,1.00185e+01
2.93000e+02,6.33992e+03,3.10622e+03,1.00163e+01
2.94000e+02,6.43371e+03,3.15753e+03,1.00140e+01
2.95000e+02,6.52748e+03,3.20883e+03,1.00115e+01
2.96000e+02,6.62122e+03,3.26012e+03,1.00088e+01
2.97000e+02,6.71493e+03,3.31141e+03,1.00061e+01
2.98000e+02,6.80861e+03,3.36269e+03,1.00032e+01
2.99000e+02,6.90225e+03,3.41395e+03,1.00002e+01
3.00000e+02,6.99586e+03,3.46521e+03,9.99719e+00
3.01000e+02,7.08944e+03,3.51646e+03,9.99397e+00
3.02000e+02,7.18297e+03,3.56769e+03,9.99062e+00
3.03000e+02,7.27647e+03,3.61891e+03,9.98718e+00
3.04000e+02,7.36993e+03,3.67011e+03,9.98359e+00
3.05000e+02,7.46335e+03,3.72130e+03,9.97976e+00
3.06000e+02,7.55673e+03,3.77247e+03,9.97563e+00
3.07000e+02,7.65006e+03,3.82362e+03,9.97119e+00
3.08000e+02,5.11685e+03,2.33295e+03,1.00244e+01
3.09000e+02,5.21073e+03,2.38412e+03,1.00254e+01
3.10000e+02,5.30462e+03,2.43531e+03,1.00262e+01
3.11000e+02,5.39852e+03,2.48652e+03,1.00267e+01
3.12000e+02,5.49243e+03,2.53774e+03,1.00268e+01
3.13000e+02,5.58634e+03,2.58898e+03,1.00267e+01
3.14000e+02,5.68025e+03,2.64024e+03,1.00263e+01
3.15000e+02,5.77416e+03,2.69151e+03,1.00256e+01
3.16000e+02,5.86806e+03,2.74279e+03,1.00247e+01
3.17000e+02,5.96195e+03,2.79408e+03,1.00234e+01
3.18000e+02,6.05583e+03,2.84537e+03,1.00219e+01
3.19000e+02,6.14969e+03,2.89668e+03,1.00203e+01
3.20000e+02,6.24354e+03,2.94798e+03,1.00184e+01
3.21000e+02,6.33736e+03,2.99929e+03,1.00162e+01
3.22000e+02,6.43116e+03,3.05059e+03,1.00140e+01
3.23000e+02,6.52494e+03,3.10190e+03,1.00115e+01
3.24000e+02,6.61868e+03,3.15320e+03,1.00089e+01
3.25000e+02,6.71240e+03,3.20449e+03,1.00062e+01
3.26000e+02,6.80609e+03,3.25578e+03,1.00034e+01
3.27000e+02,6.89975e+03,3.30706e+03,1.00005e+01
3.28000e+02,6.99337e+03,3.35833e+03,9.99741e+00
3.29000e+02,7.08696e+03,3.40959e+03,9.99426e+00
3.30000e+02,7.18051e+03,3.46083e+03,9.99106e+00
3.31000e+02,7.27402e+03,3.51207e+03,9.98752e+00
3.32000e+02,7.36750e+03,3.56329e+03,9.98398e+00
3.33000e+02,7.46093e+03,3.61449e+03,9.98020e+00
3.34000e+02,7.55432e+03,3.66568e+03,9.97605e+00
3.35000e+02,7.64767e+03,3.71686e+03,9.97168e+00
3.36000e+02,5.11431e+03,2.22618e+03,1.00232e+01
3.37000e+02,5.20818e+03,2.27732e+03,1.00244e+01
3.38000e+02,5.30206e+03,2.32849e+03,1.00252e+01
3.39000e+02,5.39596e+03,2.37968e+03,1.00257e+01
3.40000e+02,5.48986e+03,2.43089e+03,1.00260e+01
3.41000e+02,5.58376e+03,2.48212e+03,1.00259e+01
3.42000e+02,5.67767e+03,2.53336e+03,1.00256e+01
3.43000e+02,5.77158e+03,2.58462e+03,1.00250e+01
3.44000e+02,5.86548e+03,2.63589e+03,1.00241e+01
3.45000e+02,5.95937e+03,2.68717e+03,1.00230e+01
3.46000e+02,6.05325e+03,2.73846e+03,1.00216e+01
3.47000e+02,6.14711e+03,2.78976e+03,1.00200e+01
3.48000e+02,6.24096e+03,2.84106e+03,1.00182e+01
3.49000e+02,6.33479e+03,2.89236e+03,1.00161e+01
3.50000e+02,6.42859e+03,2.94367e+03,1.00139e+01
3.51000e+02,6.52238e+03,2.99498e+03,1.00115e+01
3.52000e+02,6.61613e+03,3.04628e+03,1.00090e+01
3.53000e+02,6.70986e+03,3.09758e+03,1.00064e+01
3.54000e+02,6.80356e+03,3.14888e+03,1.00036e+01
3.55000e+02,6.89722e+03,3.20016e+03,1.00007e+01
3.56000e+02,6.99086e+03,3.25144e+03,9.99768e+00
3.57000e+02,7.08446e+03,3.30271e+03,9.99458e+00
3.58000e+02,7.17802e+03,3.35397e+03,9.99128e+00
3.59000e+02,7.27155e+03,3.40522e+03,9.98784e+00
3.60000e+02,7.36504e+03,3.45646e+03,9.98430e+00
3.61000e+02,7.45849e+03,3.50768e+03,9.98057e+00
3.62000e+02,7.55189e+03,3.55889e+03,9.97651e+00
3.63000e+02,7.64525e+03,3.61008e+03,9.97219e+00
3.64000e+02,5.11176e+03,2.11943e+03,1.00221e+01
3.65000e+02,5.20562e+03,2.17056e+03,1.00233e+01
3.66000e+02,5.29950e+03,2.22171e+03,1.00241e+01
3.67000e+02,5.39338e+03,2.27288e+03,1.00247e+01
3.68000e+02,5.48728e+03,2.32407e+03,1.00250e+01
3.69000e+02,5.58118e+03,2.37528e+03,1.00251e+01
3.70000e+02,5.67508e+03,2.42651e+03,1.00248e+01
3.71000e+02,5.76898e+03,2.47775e+03,1.00243e+01
3.72000e+02,5.86288e+03,2.52901e+03,1.00235e+01
3.73000e+02,5.95677e+03,2.58028e+03,1.00225e+01
3.74000e+02,6.05065e+03,2.63157e+03,1.00212e+01
3.75000e+02,6.14452e+03,2.68286e+03,1.00196e+01
3.76000e+02,6.23837e+03,2.73415e+03,1.00179e+01
3.77000e+02,6.33220e+03,2.78545e+03,1.00159e+01
3.78000e+02,6.42601e+03,2.83676e+03,1.00138e+01
3.79000e+02,6.51980e+03,2.88807e+03,1.00115e+01
3.80000e+02,6.61356e+03,2.93937e+03,1.00090e+01
3.81000e+02,6.70730e+03,2.99068e+03,1.00065e+01
3.82000e+02,6.80101e+03,3.04198e+03,1.00037e+01
3.83000e+02,6.89468e+03,3.09327e+03,1.00008e+01
3.84000e+02,6.98833e+03,3.14456e+03,9.99788e+00
3.85000e+02,7.08194e+03,3.19584e+03,9.99475e+00
3.86000e+02,7.17552e+03,3.24711e+03,9.99146e+00
3.87000e+02,7.26906e+03,3.29837e+03,9.98813e+00
3.88000e+02,7.36256e+03,3.34962e+03,9.98462e+00
3.89000e+02,7.45602e+03,3.40086e+03,9.98083e+00
3.90000e+02,7.54944e+03,3.45208e+03,9.97686e+00
3.91000e+02,7.64282e+03,3.50329e+03,9.97258e+00
3.92000e+02,5.10922e+03,2.01273e+03,1.00209e+01
3.93000e+02,5.20307e+03,2.06383e+03,1.00220e+01
3.94000e+02,5.29693e+03,2.11496e+03,1.00230e+01
3.95000e+02,5.39081e+03,2.16611e+03,1.00237e+01
3.96000e+02,5.48470e+03,2.21728e+03,1.00240e+01
3.97000e+02,5.57859e+03,2.26847e+03,1.00241e+01
3.98000e+02,5.67249e+03,2.31969e+03,1.00240e+01
3.99000e+02,5.76638e+03,2.37092e+03,1.00235e+01
4.00000e+02,5.86028e+03,2.42216e+03,1.00228e+01
4.01000e+02,5.95416e+03,2.47342e+03,1.00219e+01
4.02000e+02,6.04804e+03,2.52469e+03,1.00206e+01
4.03000e+02,6.14191e+03,2.57597e+03,1.00192e+01
4.04000e+02,6.23576e+03,2.62727e+03,1.00175e+01
4.05000e+02,6.32960e+03,2.67856e+03,1.00156e+01
4.06000e+02,6.42341e+03,2.72986e+03,1.00135e+01
4.07000e+02,6.51721e+03,2.78117e+03,1.00114e+01
4.08000e+02,6.61098e+03,2.83248e+03,1.00090e+01
4.09000e+02,6.70472e+03,2.88378e+03,1.00064e+01
4.10000e+02,6.79844e+03,2.93509e+03,1.00037e+01
4.11000e+02,6.89213e+03,2.98639e+03,1.00009e+01
4.12000e+02,6.98578e+03,3.03768e+03,9.99797e+00
4.13000e+02,7.07940e+03,3.08897e+03,9.99490e+00
4.14000e+02,7.17299e+03,3.14025e+03,9.99167e+00
4.15000e+02,7.26654e+03,3.19152e+03,9.98833e+00
4.16000e+02,7.36006e+03,3.24278e+03,9.98481e+00
4.17000e+02,7.45353e+03,3.29403e+03,9.98105e+00
4.18000e+02,7.54697e+03,3.34527e+03,9.97705e+00
4.19000e+02,7.64036e+03,3.39649e+03,9.97280e+00
4.20000e+02,5.10668e+03,1.90605e+03,1.00196e+01
